Code,Waarde,DatumVanaf,DatumTot,Toelichting
344,Grouw,1994-02-01,9999-12-31,GRO00
345,Grubbenvorst,1994-02-01,9999-12-31,GBV00
346,Gulpen,1994-02-01,9999-12-31,GPN00
347,Haaften,1994-02-01,9999-12-31,HTN05
348,Haaksbergen,1994-02-01,9999-12-31,HBG01
349,Haaren,1994-02-01,9999-12-31,HRN02
350,Haarlem,1994-02-01,9999-12-31,HLM01;HLM02
351,Haarlemmerliede en Spaarnwoude,1994-02-01,9999-12-31,HLM04
352,Haarlemmermeer,1994-02-01,9999-12-31,HLM03
353,Haastrecht,1994-02-01,9999-12-31,HTT01
354,Haelen,1994-02-01,9999-12-31,HLN02
355,Hagestein,1994-02-01,9999-12-31,HGS00
356,Hall,1994-02-01,9999-12-31,HAL00
357,Hallum,1994-02-01,9999-12-31,HLM05
358,Halsteren,1994-02-01,9999-12-31,HSR00
359,Haps,1994-02-01,1996-09-23,HAP00
360,Hardegarijp,1994-02-01,9999-12-31,HDG00
361,Harderwijk,1994-02-01,9999-12-31,HDW00
362,Hardinxveld-Giessendam,1994-02-01,9999-12-31,HDV00
363,Haren,1994-02-01,9999-12-31,HRN01
364,Harenkarspel,1994-02-01,9999-12-31,HRK00
365,Harkstede,1994-02-01,1998-11-30,HSD02
366,Harlingen,1994-02-01,9999-12-31,HLG02
367,Harmelen,1994-02-01,9999-12-31,HML01
368,Hasselt,1994-02-01,9999-12-31,HST00
369,Hatert,1994-02-01,9999-12-31,HTT02
370,Hattem,1994-02-01,9999-12-31,HTM00
371,Havelte,1994-02-01,9999-12-31,HVT03
372,Hazerswoude,1994-02-01,9999-12-31,HZW00
373,Hedel,1994-02-01,9999-12-31,HDL01
374,Heeg,1994-02-01,9999-12-31,HEE04
375,Heel en Panheel,1994-02-01,9999-12-31,HEE01
376,Heemskerk,1994-02-01,9999-12-31,HKK01
377,Heemstede,1994-02-01,9999-12-31,HSD01
378,Heenvliet,1994-02-01,9999-12-31,HVT04
379,Heer,1994-02-01,9999-12-31,HEE03
380,Heerde,1994-02-01,9999-12-31,HDE00
381,Heerenveen,1994-02-01,9999-12-31,HRV01
382,Heerewaarden,1994-02-01,9999-12-31,HRW00
383,Heerhugowaard,1994-02-01,9999-12-31,HHG00
384,Heerjansdam,1994-02-01,9999-12-31,HJD00
385,Heerlen,1994-02-01,9999-12-31,HLN01
386,Heesch,1994-02-01,9999-12-31,HEE02
387,Heeswijk-Dinther,1994-02-01,9999-12-31,HWK02
388,Heeze,1994-02-01,9999-12-31,HZE00
389,Hei- en Boeicop,1994-02-01,9999-12-31,HEI00
390,Heiloo,1994-02-01,9999-12-31,HLO00
391,Heinenoord,1994-02-01,9999-12-31,HNO02
392,Heino,1994-02-01,9999-12-31,HNO01
393,Hekendorp,1994-02-01,9999-12-31,HKD00
394,Helden,1994-02-01,9999-12-31,HDN01
395,Hellendoorn,1994-02-01,9999-12-31,HLD01
396,Hellevoetsluis,1994-02-01,9999-12-31,HLV01
397,Helmond,1994-02-01,9999-12-31,HMD00
398,Helpman,1994-02-01,9999-12-31,HMN02
399,Helvoirt,1994-02-01,9999-12-31,HVT02
400,Hendrik-Ido-Ambacht,1994-02-01,9999-12-31,HDK03
401,Hengelo Gelderland,1994-02-01,9999-12-31,HGL02
402,Hengelo Overijssel,1994-02-01,9999-12-31,HGL01
403,Herkingen,1994-02-01,9999-12-31,HKG00
404,Hernen,1994-02-01,1998-11-30,HNN00
405,Herten,1994-02-01,9999-12-31,HTN02
406,Herwen,1994-02-01,9999-12-31,HWN01
407,Herwijnen,1994-02-01,9999-12-31,HWN02
408,Heteren,1994-02-01,9999-12-31,HTR00
409,Heukelum,1994-02-01,9999-12-31,HKL00
410,Heumen,1994-02-01,9999-12-31,HMN01
411,Heusden,1994-02-01,9999-12-31,HDN02
412,Heythuysen,1994-02-01,9999-12-31,HHS00
413,Hien,1994-02-01,9999-12-31,HIE00
414,Hijum,1994-02-01,9999-12-31,HUM00
415,Hillegersberg,1994-02-01,9999-12-31,HLG03
416,Hillegom,1994-02-01,9999-12-31,HLG01
417,Hilvarenbeek,1994-02-01,9999-12-31,HVR00
418,Hilversum,1994-02-01,9999-12-31,HVS00
419,Hindeloopen,1994-02-01,9999-12-31,HDL02
420,Hoek,1994-02-01,9999-12-31,HOE02
421,Hoek van Holland,1994-02-01,9999-12-31,HOE01
422,Hoensbroek,1994-02-01,9999-12-31,HBK00
423,Hoevelaken,1994-02-01,9999-12-31,HVL00
424,Hoeven,1994-02-01,9999-12-31,HVN00
425,Holten,1994-02-01,9999-12-31,HTN03
426,Holwerd,1994-02-01,9999-12-31,HWD00
427,Hontenisse,1994-02-01,9999-12-31,HTN01
428,Hoog Soeren,1994-02-01,9999-12-31,SRN00
429,Hoogblokland,1994-02-01,9999-12-31,HBL00
430,Hooge en Lage Mierde,1994-02-01,9999-12-31,MDE02
431,Hooge en Lage Zwaluwe,1994-02-01,9999-12-31,ZLW00
432,Hoogeloon,1994-02-01,9999-12-31,HGL04
433,Hoogeveen,1994-02-01,9999-12-31,HGV00
434,Hoogezand,1994-02-01,9999-12-31,HGZ00
435,Hoogkarspel,1994-02-01,1996-01-31,HKS00
436,Hoogkerk,1994-02-01,9999-12-31,HKK02
437,Hoogland,1994-02-01,9999-12-31,HLD02
438,Hoogvliet,1994-02-01,9999-12-31,HVT01
439,Hoorn,1994-02-01,9999-12-31,HOO00
440,Hoornaar,1994-02-01,9999-12-31,HNR00
441,Horn,1994-02-01,9999-12-31,HOR02
442,Horssen,1994-02-01,9999-12-31,HSN02
443,Horst,1994-02-01,9999-12-31,HOR01
444,Houten,1994-02-01,9999-12-31,HTN04
445,Houthem,1994-02-01,9999-12-31,HHM00
446,Huijbergen,1994-02-01,9999-12-31,HBG03
447,Huissen,1994-02-01,9999-12-31,HSN01
448,Huizen,1994-02-01,9999-12-31,HZN00
449,Huizum,1994-02-01,9999-12-31,HZM00
450,Hulsberg,1994-02-01,9999-12-31,HBG02
451,Hulst,1994-02-01,9999-12-31,HUL00
452,Hummelo,1994-02-01,9999-12-31,HML02
453,Hunsel,1994-02-01,9999-12-31,HSL00
454,IJlst,1994-02-01,9999-12-31,IJL00
455,IJmuiden,1994-02-01,9999-12-31,IMD00
456,IJsselham,1994-02-01,9999-12-31,ISH00
457,IJsselmeer,1994-02-01,2000-01-01,ISM03
458,IJsselmeer-west2000-01-01,2000-01-01,ISM04
459,IJsselmonde,1994-02-01,9999-12-31,ISM01
460,IJsselmuiden,1994-02-01,9999-12-31,ISM02
461,IJsselstein,1994-02-01,9999-12-31,ISS00
462,Ilpendam,1994-02-01,1996-01-31,IPD00
463,Ingen,1994-02-01,9999-12-31,IGN00
464,Itteren,1994-02-01,9999-12-31,ITR00
465,Ittervoort,1994-02-01,9999-12-31,ITV00
466,Jaarsveld,1994-02-01,9999-12-31,JVD00
467,Jabeek,1994-02-01,9999-12-31,JBK00
