Code,Waarde,DatumVanaf,DatumTot,Toelichting
9060,Sabah,1832-01-01,1991-06-01,*
9061,Abu Dhabi,1832-01-01,1991-06-01,*
9062,Ajman,1832-01-01,1991-06-01,*
9063,Basutoland,1832-01-01,1966-10-04,
9064,Bechuanaland,1832-01-01,1966-09-30,
9065,Fujairah,1832-01-01,1991-06-01,*
9066,Frans-Kameroen,1832-01-01,1960-01-01,
9067,Johore,1832-01-01,1946-04-01,
9068,Korea,1832-01-01,1991-06-01,*
9069,Labuan,1832-01-01,1991-06-01,*
9070,Umm Al-Qaiwain,1832-01-01,1991-06-01,*
9071,Oostenrijk-Hongarije,1832-01-01,1991-06-01,*
9072,Portugees Oost-Afrika,1832-01-01,1975-06-25,
9073,Portugees West-Afrika,1832-01-01,1975-11-11,
9074,Sharjah,1832-01-01,1991-06-01,*
9075,Straits Settlements,1832-01-01,1946-04-01,
9076,Abessinië,1832-01-01,1991-06-01,*
9077,Frans West-Afrika,1832-01-01,1991-06-01,*
9078,Frans Equatoriaal-Afrika,1832-01-01,1991-06-01,*
9081,Urundi,1832-01-01,1991-06-01,*
9082,Ruanda-Urundi,1832-01-01,1962-07-01,
9084,Goa,1832-01-01,1961-12-18,
9085,Dantzig,1832-01-01,1939-09-01,
9086,Centraal-Afrikaanse Republiek,1832-01-01,9999-12-31,
9087,Djibouti,1977-06-27,9999-12-31,
9088,Transjordanië,1923-05-15,1991-06-01,*
9089,Bondsrepubliek Duitsland,1949-08-01,9999-12-31,
9090,Vanuatu,1980-07-30,9999-12-31,
9091,Niue,1832-01-01,9999-12-31,
9092,Spaans Noord-Afrika,1832-01-01,1991-06-01,*
9093,Westelijke Sahara,1976-02-26,9999-12-31,
9094,Micronesia,1832-01-01,9999-12-31,
9095,Svalbardeilanden,1832-01-01,9999-12-31,
9999,Internationaal gebied,1832-01-01,9999-12-31,
